fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,507,g,"1 bottle, NFS",50.7
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,240,g,"1 cup",24.0
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,1014,g,"1 bottle (1 liter)",101
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,360,g,"1 bottle (12 fl oz)",36.0
2710714,95101000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost)",127,256,g,"1 bottle (8 fl oz)",325
2710714,95101000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost)",127,32,g,"1 fl oz",40.6
2710714,95101000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost)",127,256,g,"1 cup",325
2710714,95101000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost)",127,256,g,"Quantity not specified",325
2710713,94300100,Food Code,Survey (FNDDS),"Water, baby",0.000,240,g,"1 cup",0.000
2710713,94300100,Food Code,Survey (FNDDS),"Water, baby",0.000,120,g,"Quantity not specified",0.000
2710713,94300100,Food Code,Survey (FNDDS),"Water, baby",0.000,30,g,"1 fl oz",0.000
2710712,94200200,Food Code,Survey (FNDDS),"Water, enhanced, diet",0.000,600,g,"1 bottle (20 fl oz)",0.000
2710712,94200200,Food Code,Survey (FNDDS),"Water, enhanced, diet",0.000,240,g,"1 cup",0.000
2710712,94200200,Food Code,Survey (FNDDS),"Water, enhanced, diet",0.000,480,g,"Quantity not specified",0.000
2710712,94200200,Food Code,Survey (FNDDS),"Water, enhanced, diet",0.000,30,g,"1 fl oz",0.000
2710709,94100200,Food Code,Survey (FNDDS),"Water, non-carbonated, flavored",1.00,240,g,"1 cup",2.40
2710709,94100200,Food Code,Survey (FNDDS),"Water, non-carbonated, flavored",1.00,480,g,"Quantity not specified",4.80
2710709,94100200,Food Code,Survey (FNDDS),"Water, non-carbonated, flavored",1.00,507,g,"1 bottle, NFS",5.07
2710709,94100200,Food Code,Survey (FNDDS),"Water, non-carbonated, flavored",1.00,240,g,"1 bottle (8 fl oz)",2.40
2710709,94100200,Food Code,Survey (FNDDS),"Water, non-carbonated, flavored",1.00,30,g,"1 fl oz",0.300
2710709,94100200,Food Code,Survey (FNDDS),"Water, non-carbonated, flavored",1.00,507,g,"1 bottle (16.9 fl oz or 500 ml)",5.07
2710709,94100200,Food Code,Survey (FNDDS),"Water, non-carbonated, flavored",1.00,360,g,"1 bottle (12 fl oz)",3.60
2710701,93502100,Food Code,Survey (FNDDS),"Scotch",0.000,42,g,"1 jigger",0.000
2710701,93502100,Food Code,Survey (FNDDS),"Scotch",0.000,42,g,"Quantity not specified",0.000
2710701,93502100,Food Code,Survey (FNDDS),"Scotch",0.000,28,g,"1 fl oz (no ice)",0.000
2710701,93502100,Food Code,Survey (FNDDS),"Scotch",0.000,63,g,"1 drink",0.000
2710701,93502100,Food Code,Survey (FNDDS),"Scotch",0.000,42,g,"1 shot",0.000
2710705,93505100,Food Code,Survey (FNDDS),"Tequila",0.000,42,g,"1 jigger",0.000
2710705,93505100,Food Code,Survey (FNDDS),"Tequila",0.000,28,g,"1 fl oz (no ice)",0.000
2710705,93505100,Food Code,Survey (FNDDS),"Tequila",0.000,42,g,"1 shot",0.000
2710705,93505100,Food Code,Survey (FNDDS),"Tequila",0.000,63,g,"1 drink",0.000
2710705,93505100,Food Code,Survey (FNDDS),"Tequila",0.000,42,g,"Quantity not specified",0.000
2710703,93504000,Food Code,Survey (FNDDS),"Rum",0.000,28,g,"1 fl oz (no ice)",0.000
2710703,93504000,Food Code,Survey (FNDDS),"Rum",0.000,42,g,"Quantity not specified",0.000
2710703,93504000,Food Code,Survey (FNDDS),"Rum",0.000,42,g,"1 jigger",0.000
2710703,93504000,Food Code,Survey (FNDDS),"Rum",0.000,63,g,"1 drink",0.000
2710703,93504000,Food Code,Survey (FNDDS),"Rum",0.000,42,g,"1 shot",0.000
2710706,94000010,Food Code,Survey (FNDDS),"Water, NFS",6.00,360,g,"Quantity not specified",21.6
2710706,94000010,Food Code,Survey (FNDDS),"Water, NFS",6.00,240,g,"1 cup",14.4
2710706,94000010,Food Code,Survey (FNDDS),"Water, NFS",6.00,30,g,"1 fl oz",1.80
2710702,93503000,Food Code,Survey (FNDDS),"Gin",0.000,42,g,"1 shot",0.000
2710702,93503000,Food Code,Survey (FNDDS),"Gin",0.000,42,g,"1 jigger",0.000
2710702,93503000,Food Code,Survey (FNDDS),"Gin",0.000,42,g,"Quantity not specified",0.000
2710702,93503000,Food Code,Survey (FNDDS),"Gin",0.000,28,g,"1 fl oz (no ice)",0.000
2710702,93503000,Food Code,Survey (FNDDS),"Gin",0.000,63,g,"1 drink",0.000
2710700,93502000,Food Code,Survey (FNDDS),"Whiskey",0.000,28,g,"1 fl oz (no ice)",0.000
2710700,93502000,Food Code,Survey (FNDDS),"Whiskey",0.000,63,g,"1 drink",0.000
2710700,93502000,Food Code,Survey (FNDDS),"Whiskey",0.000,42,g,"Quantity not specified",0.000
2710700,93502000,Food Code,Survey (FNDDS),"Whiskey",0.000,42,g,"1 shot",0.000
2710700,93502000,Food Code,Survey (FNDDS),"Whiskey",0.000,42,g,"1 jigger",0.000
2710704,93505000,Food Code,Survey (FNDDS),"Vodka",0.000,42,g,"1 shot",0.000
2710704,93505000,Food Code,Survey (FNDDS),"Vodka",0.000,28,g,"1 fl oz (no ice)",0.000
2710704,93505000,Food Code,Survey (FNDDS),"Vodka",0.000,63,g,"1 drink",0.000
2710704,93505000,Food Code,Survey (FNDDS),"Vodka",0.000,42,g,"Quantity not specified",0.000
